FundCode,FundName,Category,GroupCategory,FundHouse,WMC,Subscribe,Price,PriceDate,Currency,Risk,RetYTD(%),Ret1W(%),Ret1M(%),Ret3M(%),Ret6M(%),Ret1Y(%),Ret2Y(%),Ret3Y(%),Ret5Y(%),Yield(%),YieldDate,MgmtFee(%),ISIN,StarRating,BalancedRisk,BalancedRegion,BondType,BondRegion,EquityStyle
U44532,"景順亞洲資產配置基金 A(每月派息 -1 股份)(美元) - 現金派息","亞洲股債混合","亞洲股債混合","景順投資管理有限公司",N,N,5.91,18-09-2026,美元,4,11.67,-0.34,0.11,-4.73,6.69,12.49,5.34,2.74,-8.29,7.41,31-08-2026,1.25,LU0955864656,2,"平衡型","亞洲","","",""
U44980,"首源亞洲鐵橋基金(美元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","首源投資(香港)有限公司",N,N,14.19,18-09-2026,美元,3,9.02,-0.14,0.12,-1.56,6.98,9.62,6.9,-1.83,-2.9,3.8,31-08-2026,1.25,HK0000012440,3,"平衡型","亞洲","","",""
U44376,"施羅德亞洲高息股債基金A類別 (美元 每月收息單位-現金派息)","亞洲股債混合","亞洲股債混合","施羅德投資管理(香港)有限公司",Y,Y,9.9729,18-09-2026,美元,3,18.1,-0.24,-0.16,-1.6,11.58,21.81,9.44,3.45,3.57,5.61,31-08-2026,1.25,HK0000081932,4,"平衡型","亞洲","","",""
U44923,"滙豐環球投資基金 - 全智選 - 亞洲焦點入息AM2類 (港元 每月分派-現金派息)(每月投資計劃)","亞洲股債混合","亞洲股債混合","滙豐環球投資管理 (香港) 有限公司",N,Y,9.839,18-09-2026,港元,3,12.13,-0.33,0.6,-2.01,6.77,13.91,4.93,4.69,-4.17,4.1,31-08-2026,1.25,LU0762542818,3,"平衡型","亞洲","","",""
U44377,"施羅德亞洲高息股債基金A類別 (港元 每月收息單位-現金派息)","亞洲股債混合","亞洲股債混合","施羅德投資管理(香港)有限公司",Y,Y,100.4894,18-09-2026,港元,3,19.06,-0.19,-0.13,-1.49,11.73,22.91,8.87,3.49,4.14,5.59,31-08-2026,1.25,HK0000081908,4,"平衡型","亞洲","","",""
U39236,"安聯亞太收益基金A類收息股份(美元)","亞洲股債混合","亞洲股債混合","安聯環球投資亞太有限公司",N,N,7.6893,18-09-2026,美元,3,24.07,-0.69,0.49,-4.83,12.79,30.61,9.87,3.61,-1.2,1.58,31-08-2026,1.5,LU0348744763,,"平衡型","亞洲","","",""
U44931,"施羅德亞洲高息股債基金A類別 (港元 每月收息單位 現金派息)(每月投資計劃)","亞洲股債混合","亞洲股債混合","施羅德投資管理(香港)有限公司",N,Y,100.4894,18-09-2026,港元,3,19.06,-0.19,-0.13,-1.49,11.73,22.91,8.87,3.49,4.14,5.59,31-08-2026,1.25,HK0000081908,4,"平衡型","亞洲","","",""
U44437,"JPM亞太入息(美元)A股(每月派息-現金派息)","亞洲股債混合","亞洲股債混合","摩根資產管理",N,Y,121.55,18-09-2026,美元,3,8.39,-0.6,-0.2,-1.14,4.45,11.69,6.92,6.38,4.28,4.01,31-08-2026,1.5,LU0784639295,3,"平衡型","亞洲","","",""
U44580,"滙豐環球投資基金 - 全智選 - 亞洲焦點入息AM2類 (美元 每月分派-現金派息)","亞洲股債混合","亞洲股債混合","滙豐環球投資管理 (香港) 有限公司",N,Y,9.736,18-09-2026,美元,3,11.23,-0.39,0.57,-2.12,6.64,12.89,5.47,4.65,-4.7,4.12,31-08-2026,1.25,LU0762541174,3,"平衡型","亞洲","","",""
U44438,"JPM亞太入息(港元)A股(每月派息-現金派息)","亞洲股債混合","亞洲股債混合","摩根資產管理",N,Y,13.64,18-09-2026,港元,3,9.18,-0.58,-0.25,-1.05,4.51,12.57,6.23,6.65,4.82,4,31-08-2026,1.5,LU0784638990,4,"平衡型","亞洲","","",""
